Transaction_ID,PR_ID,PO_ID,GR_ID,Invoice_ID,Vendor_ID,Vendor_Name,Category,Department,Quantity,Unit_Price,Total_Amount,PR_Date,PO_Date,Expected_Delivery,GR_Date,Invoice_Date,Payment_Date,PO_Cycle_Days,Delivery_Cycle_Days,Invoice_Cycle_Days,Payment_Cycle_Days,E2E_Cycle_Days,On_Time_Delivery,Invoice_Exception,Month,Month_Num,Quarter
TXN0001,PR0001,PO0001,GR0001,INV0001,V004,PrimeMaterials Ltd,IT Equipment,HR,15,33837.62,507564.3,2024-02-27,2024-02-29,2024-03-28,2024-03-30,2024-04-04,2024-06-11,2,30,5,68,105,False,True,Feb,2,Q1
TXN0002,PR0002,PO0002,GR0002,INV0002,V004,PrimeMaterials Ltd,IT Equipment,IT,15,83222.96,1248344.4,2024-01-17,2024-01-18,2024-02-11,2024-02-11,2024-02-17,2024-04-25,1,24,6,68,99,True,False,Jan,1,Q1
TXN0003,PR0003,PO0003,GR0003,INV0003,V001,TechSupply Pvt Ltd,Utilities,HR,49,25145.48,1232128.52,2024-04-22,2024-04-29,2024-05-16,2024-05-16,2024-05-18,2024-06-22,7,17,2,35,61,True,False,Apr,4,Q2
TXN0004,PR0004,PO0004,GR0004,INV0004,V002,GlobalProcure Inc,Office Supplies,R&D,23,4267.97,98163.31,2024-02-22,2024-03-03,2024-03-18,2024-03-23,2024-03-29,2024-05-11,10,20,6,43,79,False,False,Feb,2,Q1
TXN0005,PR0005,PO0005,GR0005,INV0005,V010,Pinnacle Supplies,Office Supplies,HR,24,2971.29,71310.96,2024-07-12,2024-07-14,2024-07-22,2024-07-24,2024-07-31,2024-08-27,2,10,7,27,46,False,False,Jul,7,Q3
TXN0006,PR0006,PO0006,GR0006,INV0006,V005,NexaVendors Corp,Office Supplies,R&D,30,3251.29,97538.7,2024-04-29,2024-05-05,2024-05-17,2024-05-17,2024-05-19,2024-06-15,6,12,2,27,47,True,False,Apr,4,Q2
TXN0007,PR0007,PO0007,GR0007,INV0007,V003,SwiftLogistics Co,Marketing,Procurement,30,50499.01,1514970.3,2024-03-28,2024-04-06,2024-04-20,2024-04-22,2024-04-29,2024-05-25,9,16,7,26,58,False,False,Mar,3,Q1
TXN0008,PR0008,PO0008,GR0008,INV0008,V007,ZenithSupplies Ltd,IT Equipment,Marketing,18,23935.46,430838.28,2024-04-27,2024-05-07,2024-06-05,2024-06-05,2024-06-11,2024-07-20,10,29,6,39,84,True,False,Apr,4,Q2
TXN0009,PR0009,PO0009,GR0009,INV0009,V004,PrimeMaterials Ltd,Maintenance,Operations,48,23770.62,1140989.76,2024-03-14,2024-03-19,2024-04-18,2024-04-20,2024-04-25,2024-06-26,5,32,5,62,104,False,False,Mar,3,Q1
TXN0010,PR0010,PO0010,GR0010,INV0010,V002,GlobalProcure Inc,Marketing,Logistics,49,13277.03,650574.47,2024-03-11,2024-03-13,2024-03-24,2024-03-26,2024-04-02,2024-05-14,2,13,7,42,64,False,False,Mar,3,Q1
TXN0011,PR0011,PO0011,GR0011,INV0011,V009,BrightSource Co,Software Licenses,Logistics,17,97397.05,1655749.85,2024-07-16,2024-07-17,2024-08-14,2024-08-16,2024-08-22,2024-10-09,1,30,6,48,85,False,False,Jul,7,Q3
TXN0012,PR0012,PO0012,GR0012,INV0012,V007,ZenithSupplies Ltd,Office Supplies,HR,11,2377.87,26156.57,2024-06-23,2024-06-28,2024-07-21,2024-07-26,2024-07-31,2024-09-03,5,28,5,34,72,False,False,Jun,6,Q2
TXN0013,PR0013,PO0013,GR0013,INV0013,V003,SwiftLogistics Co,Consumables,Procurement,24,7743.85,185852.4,2024-09-16,2024-09-25,2024-10-18,2024-10-28,2024-11-02,2024-11-27,9,33,5,25,72,False,False,Sep,9,Q3
TXN0014,PR0014,PO0014,GR0014,INV0014,V004,PrimeMaterials Ltd,Professional Services,HR,4,63356.89,253427.56,2024-02-27,2024-03-08,2024-03-17,2024-03-15,2024-03-19,2024-05-17,10,7,4,59,80,True,False,Feb,2,Q1
TXN0015,PR0015,PO0015,GR0015,INV0015,V005,NexaVendors Corp,Utilities,Operations,34,26810.83,911568.22,2024-03-06,2024-03-13,2024-03-26,2024-04-05,2024-04-12,2024-05-13,7,23,7,31,68,False,False,Mar,3,Q1
TXN0016,PR0016,PO0016,GR0016,INV0016,V008,CoreTrade Inc,Software Licenses,Marketing,34,50633.75,1721547.5,2024-06-08,2024-06-12,2024-06-26,2024-06-24,2024-06-25,2024-08-26,4,12,1,62,79,True,False,Jun,6,Q2
TXN0017,PR0017,PO0017,GR0017,INV0017,V001,TechSupply Pvt Ltd,IT Equipment,IT,15,24099.04,361485.6,2024-04-22,2024-04-23,2024-05-10,2024-05-08,2024-05-10,2024-06-19,1,15,2,40,58,True,False,Apr,4,Q2
TXN0018,PR0018,PO0018,GR0018,INV0018,V010,Pinnacle Supplies,Marketing,Operations,37,60939.15,2254748.55,2024-04-19,2024-04-27,2024-05-17,2024-05-17,2024-05-18,2024-06-23,8,20,1,36,65,True,False,Apr,4,Q2
